Time (s),Vsub = -20V (counts),Vsub = -5V (counts)
-6.00E-10,12,10
-5.99E-10,14,5
-5.98E-10,12,12
-5.98E-10,9,14
-5.97E-10,9,18
-5.96E-10,12,17
-5.95E-10,9,18
-5.94E-10,10,11
-5.93E-10,9,15
-5.93E-10,11,12
-5.92E-10,10,13
-5.91E-10,13,20
-5.90E-10,15,13
-5.89E-10,13,16
-5.89E-10,12,20
-5.88E-10,11,19
-5.87E-10,10,14
-5.86E-10,14,14
-5.85E-10,5,11
-5.85E-10,15,11
-5.84E-10,11,11
-5.83E-10,11,16
-5.82E-10,17,18
-5.81E-10,9,20
-5.80E-10,11,20
-5.80E-10,12,14
-5.79E-10,14,10
-5.78E-10,9,15
-5.77E-10,10,15
-5.76E-10,12,17
-5.76E-10,13,17
-5.75E-10,17,22
-5.74E-10,13,18
-5.73E-10,13,13
-5.72E-10,21,19
-5.72E-10,10,18
-5.71E-10,9,16
-5.70E-10,11,16
-5.69E-10,15,24
-5.68E-10,10,16
-5.67E-10,8,14
-5.67E-10,12,17
-5.66E-10,12,13
-5.65E-10,15,18
-5.64E-10,8,22
-5.63E-10,17,17
-5.63E-10,18,16
-5.62E-10,12,21
-5.61E-10,12,17
-5.60E-10,9,25
-5.59E-10,4,15
-5.58E-10,8,17
-5.58E-10,8,24
-5.57E-10,5,17
-5.56E-10,15,20
-5.55E-10,12,17
-5.54E-10,14,22
-5.54E-10,18,17
-5.53E-10,11,26
-5.52E-10,12,19
-5.51E-10,20,20
-5.50E-10,10,14
-5.50E-10,9,21
-5.49E-10,15,18
-5.48E-10,12,10
-5.47E-10,21,23
-5.46E-10,11,15
-5.45E-10,13,20
-5.45E-10,8,19
-5.44E-10,15,13
-5.43E-10,20,14
-5.42E-10,21,19
-5.41E-10,11,20
-5.41E-10,11,18
-5.40E-10,19,11
-5.39E-10,19,18
-5.38E-10,11,22
-5.37E-10,7,23
-5.36E-10,13,18
-5.36E-10,17,14
-5.35E-10,7,20
-5.34E-10,7,17
